category,correct_response,game,value,clue
TELEVISION,75th,"Show #3003 - Wednesday, September 24, 1997",500,"In ""The Music Man"", the penultimate trombonist in ""The Big Parade"""
WHAT AILS YOU?,"""Adam-12""","Show #3003 - Wednesday, September 24, 1997",500,"""Dragnet""'s Jack Webb also developed this police series starring Martin Milner & Kent McCord"
APPROXIMATE WEIGHTS & MEASURES,the Pacific,"Show #3002 - Tuesday, September 23, 1997",100,"The name of this ocean means ""peaceful"""
STATE SUPERLATIVES,Narcolepsy,"Show #3003 - Wednesday, September 24, 1997",500,The cause of this disorder characterized by sudden sleep attacks is unknown
4-LETTER WORDS,Idaho (Mainly in Idaho on the border with Oregon),"Show #3003 - Wednesday, September 24, 1997",500,The deepest gorge in the U.S. is this state's Hells Canyon
1957,Tilt,"Show #3003 - Wednesday, September 24, 1997",500,"To incline, or to thrust a lance, perhaps at a windmill"
"ORDINAL NUMBER, PLEASE",Sputnik,"Show #3003 - Wednesday, September 24, 1997",200,On October 4 Russia launched this first satellite into space
TELEVISION,Pyramid,"Show #3003 - Wednesday, September 24, 1997",200,"You'll find the largest one in Mexico, not Egypt; its base covers nearly 45 acres"
WHAT AILS YOU?,Pennyloafer,"Show #3003 - Wednesday, September 24, 1997",200,This type of shoe has a slot in the strap across each vamp into which a coin can be inserted
STATE SUPERLATIVES,Bob Dole,"Show #3003 - Wednesday, September 24, 1997",200,Bill Clinton awarded this political rival the Presidential Medal of Freedom in 1997
4-LETTER WORDS,"""The King And I""","Show #3003 - Wednesday, September 24, 1997",200,"It's based on the memoir ""Anna And The King Of Siam"""
1957,Philately (stamp collecting),"Show #3003 - Wednesday, September 24, 1997",200,"Both England's King George V & FDR put their stamp of approval on this ""King of Hobbies"""
"ORDINAL NUMBER, PLEASE",Frisbee,"Show #3003 - Wednesday, September 24, 1997",400,"When Wham-O introduced this toy in 1957, it was called the Pluto Platter"
TELEVISION,The Hindenburg,"Show #3003 - Wednesday, September 24, 1997",400,"Longer than 2 football fields, it was launched at Friedrichshafen, Germany in 1936"
WHAT AILS YOU?,Wooden Shoes/Clogs,"Show #3003 - Wednesday, September 24, 1997",400,The lad who's the symbol of a line of Sherwin-Williams paints wears this type of shoes
STATE SUPERLATIVES,Indianapolis,"Show #3003 - Wednesday, September 24, 1997",400,"Indiana's current governor, Frank L. O'Bannon, ran against Stephen Goldsmith, the mayor of this city"
ATHLETES,a little dab,"Show #3002 - Tuesday, September 23, 1997",100,"Amount of Brylcreem that'll ""do ya"""
THE 1940s,Martina Navratilova,"Show #3002 - Tuesday, September 23, 1997",100,"Appropriately, Swiss teenage tennis star Martina Hingis was named for this woman"
"""SON""NY",Winston Churchill,"Show #3002 - Tuesday, September 23, 1997",100,"On May 13, 1940 he told Britain's House of Commons, ""I have nothing to offer but blood, toil, tears & sweat"""
CHER FILMS,arson,"Show #3002 - Tuesday, September 23, 1997",100,"By law it's the malicious burning of another's house, or, in some case, your own"
THAT'S MY BOY!,,"Show #3002 - Tuesday, September 23, 1997",100,Cher won Nicolas Cage's heart & an Oscar in this romantic comedy
APPROXIMATE WEIGHTS & MEASURES,Lake Ontario,"Show #3002 - Tuesday, September 23, 1997",,It's the smallest & the most easterly of the 5 Great Lakes
ATHLETES,a lump,"Show #3002 - Tuesday, September 23, 1997",200,An indefinite-sized mass that forms in the throat when you're a little choked up
THE 1940s,Joe DiMaggio,"Show #3002 - Tuesday, September 23, 1997",200,"In 1933 he hit in 61 straight games for the San Francisco Seals; he only reached 56 as the ""Yankee Clipper"""
"""SON""NY",Texas,"Show #3002 - Tuesday, September 23, 1997",200,"Popular songs of the decade included ""Tennessee Waltz"" & ""Deep In The Heart Of"" this state"
CHER FILMS,masonry,"Show #3002 - Tuesday, September 23, 1997",200,Brickwork or stonework
THAT'S MY BOY!,,"Show #3002 - Tuesday, September 23, 1997",200,This film featured Cher as Meryl Streep's gal pal & co-worker at a nuclear plant
APPROXIMATE WEIGHTS & MEASURES,Scotland,"Show #3002 - Tuesday, September 23, 1997",300,"Noted for its salmon fishing, the Tay is the longest river of this United Kingdom country"
ATHLETES,a tablespoon,"Show #3002 - Tuesday, September 23, 1997",300,"Abbreviated ""T"", it can be exact, or when approximate, rounded or heaping"
THE 1940s,hitting below the belt,"Show #3002 - Tuesday, September 23, 1997",300,In 1996 boxer Andrew Golota lost twice to Riddick Bowe by committing this foul
4-LETTER WORDS,Will Rogers,"Show #3003 - Wednesday, September 24, 1997",,(VIDEO DAILY DOUBLE - here is a special guest with the clue):
1957,Philharmonic,"Show #3003 - Wednesday, September 24, 1997",400,For many years Andre Previn conducted one
"ORDINAL NUMBER, PLEASE",Jimmy Hoffa,"Show #3003 - Wednesday, September 24, 1997",600,"As the Teamsters' vice president, he was indicted for bribery, conspiracy & obstruction of justice"
TELEVISION,Great White Shark,"Show #3003 - Wednesday, September 24, 1997",600,"Growing over 20 feet, it's the largest predatory fish"
WHAT AILS YOU?,Wellingtons,"Show #3003 - Wednesday, September 24, 1997",600,These boots named for a British general became popular during the Napoleonic Wars
STATE SUPERLATIVES,Fred Dalton Thompson,"Show #3003 - Wednesday, September 24, 1997",600,"Now a Tennessee senator, he appeared in the films ""Die Hard 2"" & ""The Hunt For Red October"""
4-LETTER WORDS,,"Show #3003 - Wednesday, September 24, 1997",600,"In January 1997 Liza Minnelli returned to Broadway, filling in for Julie Andrews in this musical"
1957,Phi,"Show #3003 - Wednesday, September 24, 1997",600,You beta know that this letter follows upsilon in the Greek alphabet
"ORDINAL NUMBER, PLEASE",Armand Hammer,"Show #3003 - Wednesday, September 24, 1997",800,He ended his brief retirement to become chairman & president of Occidental Petroleum
TELEVISION,New Guinea,"Show #3003 - Wednesday, September 24, 1997",,Greenland is more than 2 1/2 times the size of this next largest island
WHAT AILS YOU?,Pump,"Show #3003 - Wednesday, September 24, 1997",800,"Miranda, Spectator & D'Orsay are types of this slip-on women's shoe"
STATE SUPERLATIVES,Richard Petty,"Show #3003 - Wednesday, September 24, 1997",800,This champion stock-car racer lost the 1996 race for North Carolina's Secretary of State
4-LETTER WORDS,"""La Boheme""","Show #3003 - Wednesday, September 24, 1997",800,"The rock opera ""Rent"" is a reworking of this Puccini opera, set in modern times"
1957,"""Physical""","Show #3003 - Wednesday, September 24, 1997",800,"This Olivia Newton-John recording spent 10 weeks at No. 1, the longest of any single in the 1980's"
"""SON""NY",the Polaroid camera,"Show #3002 - Tuesday, September 23, 1997",300,Things developed rapidly after this Edwin Land creation went on sale in 1948
CHER FILMS,persona,"Show #3002 - Tuesday, September 23, 1997",300,"One's public image, as opposed to the inner self"
THAT'S MY BOY!,,"Show #3002 - Tuesday, September 23, 1997",300,"Cher was a ""bewitching"" sculptor in this movie based on a John Updike novel"
APPROXIMATE WEIGHTS & MEASURES,Turkey,"Show #3002 - Tuesday, September 23, 1997",400,Lake Van in Anatolia is this country's largest lake
ATHLETES,plenty,"Show #3002 - Tuesday, September 23, 1997",400,"It's how much o' ""nuthin"" Porgy had"
THE 1940s,Scottie Pippen,"Show #3002 - Tuesday, September 23, 1997",400,"No. 33 on the Chicago Bulls, this Olympian has played most of his career in the shadow of No. 23"
"""SON""NY",the ,"Show #3002 - Tuesday, September 23, 1997",400,"3 days before it was destroyed by the British Navy in May 1941, this German battleship sank the HMS Hood"
CHER FILMS,caisson,"Show #3002 - Tuesday, September 23, 1997",400,"This 2-wheeled, horse-drawn vehicle is used to carry coffins at military funerals"
THAT'S MY BOY!,,"Show #3002 - Tuesday, September 23, 1997",400,"In this 1985 film, Cher portrayed Rusty Dennis, the mother of a disfigured son"
APPROXIMATE WEIGHTS & MEASURES,the Tasman Sea,"Show #3002 - Tuesday, September 23, 1997",500,"Botany Bay on the coast of New South Wales, Australia is an inlet of this sea"
"ORDINAL NUMBER, PLEASE",Admiral Richard Byrd,"Show #3003 - Wednesday, September 24, 1997",1000,"The first explorer to fly over both poles, he passed away in March"
TELEVISION,Banyan,"Show #3003 - Wednesday, September 24, 1997",1000,"With its supporting roots & trunks, a single one of these trees in India covers some 3 acres"
WHAT AILS YOU?,Espadrilles,"Show #3003 - Wednesday, September 24, 1997",1000,This flat shoe normally has a cloth upper & a flexible rope sole
STATE SUPERLATIVES,Congressional Black Caucus,"Show #3003 - Wednesday, September 24, 1997",1000,In November 1996 Rep. Maxine Waters was elected chairwoman of this caucus
4-LETTER WORDS,"""A Little Night Music""","Show #3003 - Wednesday, September 24, 1997",1000,"This Stephen Sondheim musical was based on the Ingmar Bergman film ""Smiles Of A Summer Night"""
1957,Pharos,"Show #3003 - Wednesday, September 24, 1997",1000,"The name of this Egyptian island is Greek for ""Lighthouse"""
ATHLETES,miles,"Show #3002 - Tuesday, September 23, 1997",500,"Robert Frost had to get out of the woods; ""I have"" this far ""to go before I sleep"", he wrote"
THE 1940s,the U.S. Open,"Show #3002 - Tuesday, September 23, 1997",500,"Golf legend Sam Snead won every one of golf's major championships, except this one"
"""SON""NY",Bikini,"Show #3002 - Tuesday, September 23, 1997",500,"On July 1, 1946 the U.S. detonated its first atomic bomb since WWII at this atoll"
CHER FILMS,jettison,"Show #3002 - Tuesday, September 23, 1997",500,"To cast off junk, or to throw overboard, as from a junk"
THAT'S MY BOY!,,"Show #3002 - Tuesday, September 23, 1997",500,Chazz Palminteri stars as a hit man hired to kill Cher in this 1996 black comedy
APPROXIMATE WEIGHTS & MEASURES,Solomon,"Show #3002 - Tuesday, September 23, 1997",200,This wise son of David wrote songs as well as psalms & divided Israel into 12 administrative parts
ATHLETES,"""Salt""","Show #3002 - Tuesday, September 23, 1997",200,"Sandy ""Pepa"" Denton's rap partner Cheryl Jones is nicknamed this"
THE 1940s,a cactus,"Show #3002 - Tuesday, September 23, 1997",200,"Closely related to the Saguaro, night-blooming Cereus is a type of this plant"
"""SON""NY",cardiologist,"Show #3002 - Tuesday, September 23, 1997",200,"Term for a specialist who listens for clicks, murmurs, lub-dubs & pitter-patters"
CHER FILMS,Chinese,"Show #3002 - Tuesday, September 23, 1997",200,The Cantonese form of this language is also known as Yue
THAT'S MY BOY!,,"Show #3002 - Tuesday, September 23, 1997",200,"""Two households, both alike in dignity..."""
APPROXIMATE WEIGHTS & MEASURES,Greece,"Show #3002 - Tuesday, September 23, 1997",400,Constantine I's son George II fled this country during WWII; he returned to rule in 1946
ATHLETES,The Supremes,"Show #3002 - Tuesday, September 23, 1997",400,This group began as the Primettes; after signing with Motown it changed its name
THE 1940s,a walnut,"Show #3002 - Tuesday, September 23, 1997",400,The black & English varieties of this tree are valued for their wood & their nuts
"""SON""NY",dermatology,"Show #3002 - Tuesday, September 23, 1997",400,"Creams, lotions & ointments are the major clinical tools of this skin specialty"
CHER FILMS,Dutch,"Show #3002 - Tuesday, September 23, 1997",400,Nederlands is another name for this language
THAT'S MY BOY!,,"Show #3002 - Tuesday, September 23, 1997",400,"""When shall we three meet again"""
APPROXIMATE WEIGHTS & MEASURES,Norway,"Show #3002 - Tuesday, September 23, 1997",600,"Around 1260 this country acquired Greenland & Iceland under Haakon IV, Haakon III's illegitimate son"
ATHLETES,Lollapalooza,"Show #3002 - Tuesday, September 23, 1997",600,In 1994 L7 gained in popularity as part of this alternative rock tour
THE 1940s,the buckeye,"Show #3002 - Tuesday, September 23, 1997",600,This tree gave Ohio its nickname
"""SON""NY",psychiatry,"Show #3002 - Tuesday, September 23, 1997",600,In the 1990s Prozac & other drugs have revolutionized this specialty's treatment of depression
CHER FILMS,Russian,"Show #3002 - Tuesday, September 23, 1997",600,In 1990 Belarusian replaced this as the official language of Belarus
THAT'S MY BOY!,,"Show #3002 - Tuesday, September 23, 1997",600,"""Boatswain!"""
APPROXIMATE WEIGHTS & MEASURES,Brazil,"Show #3002 - Tuesday, September 23, 1997",800,"Unlike his father Pedro I, Pedro II worked to abolish slavery in this country"
ATHLETES,"The Spice Girls (""Wannabe"")","Show #3002 - Tuesday, September 23, 1997",,(VIDEO DAILY DOUBLE):
THE 1940s,eucalyptus,"Show #3002 - Tuesday, September 23, 1997",800,The blue gum is one of the most widely cultivated species of this tree
"""SON""NY",pathology,"Show #3002 - Tuesday, September 23, 1997",800,It's defined as the study of disease & may study the bodies of those killed by a disease
CHER FILMS,English,"Show #3002 - Tuesday, September 23, 1997",800,Belize's national anthem is usually sung in this language
THAT'S MY BOY!,,"Show #3002 - Tuesday, September 23, 1997",800,"""O for a muse of fire..."""
APPROXIMATE WEIGHTS & MEASURES,King Fahd,"Show #3002 - Tuesday, September 23, 1997",1000,"The 11th son of Ibn Saud, he led Saudi Arabia during the Gulf War"
ATHLETES,"""My Boyfriend\'s Back""","Show #3002 - Tuesday, September 23, 1997",1000,"According to Billboard, The Angels, with this 1963 song, were the 1st all-white girl group to have a No. 1 hit"
THE 1940s,philodendron,"Show #3002 - Tuesday, September 23, 1997",,"The name of this climbing plant often found on poles is Greek for ""lover of trees"""
"""SON""NY",gastroenterology,"Show #3002 - Tuesday, September 23, 1997",1000,"A subspecialty of internal medicine, it deals with innards like the stomach & intestines"
CHER FILMS,Italian,"Show #3002 - Tuesday, September 23, 1997",1000,"The famous 15th century poem ""Orlando Innamorato"" was written in this language"
THAT'S MY BOY!,,"Show #3002 - Tuesday, September 23, 1997",1000,"""I learn in this letter that Don Pedro of Arragon comes this night in Messina."""
1966,Capes,"Show #3004 - Thursday, September 25, 1997",100,"These include Cod, Horn & of Good Hope"
TV CARTOON THEMES,Harry Truman,"Show #3004 - Thursday, September 25, 1997",100,In January this former president & his wife Bess were presented with the first 2 Medicare cards
WEAPONS,The Flintstones,"Show #3004 - Thursday, September 25, 1997",100,"This ""modern stoneage family"" was ""from the town of Bedrock, they're a page right out of history"""
OOPS!,a harpoon,"Show #3004 - Thursday, September 25, 1997",100,This barbed spear attached to a rope is used to kill or capture large fish & whales
YOU'RE TOAST,Pat Boone,"Show #3004 - Thursday, September 25, 1997",100,Trinity Broadcasting dropped his show after he appeared on the American Music Awards dressed this way:
PIONEER TRAILS,Marshmallows,"Show #3004 - Thursday, September 25, 1997",100,It's customary to toast these soft confections on sticks over a campfire
1966,Canyon,"Show #3004 - Thursday, September 25, 1997",200,"Spanish for ""tube"", there's a grand old one in Arizona"
TV CARTOON THEMES,$2 bill,"Show #3004 - Thursday, September 25, 1997",200,"The U.S. Treasury discontinued this currency, though it made a comeback in 1976"
WEAPONS,George of the Jungle,"Show #3004 - Thursday, September 25, 1997",200,"Acoording to the theme song, this bumbling Tarzan-like hero needs to ""Watch out for that tree!"""
OOPS!,Catapult,"Show #3004 - Thursday, September 25, 1997",200,An onager is an ancient one of these devices used to hurl stones
YOU'RE TOAST,SAT (Scholastic Aptitude Test),"Show #3004 - Thursday, September 25, 1997",200,"45,000 students' scores were raised on this test given 10/12/96 after a math question was found flawed"
PIONEER TRAILS,Pop-Tarts,"Show #3004 - Thursday, September 25, 1997",200,"It's Kellogg's ""Toaster Pastry"""
1966,Gully,"Show #3004 - Thursday, September 25, 1997",300,"A small ravine; a heavy rainstorm is a ""washer"" of it"
TV CARTOON THEMES,Ernest Hemingway,"Show #3004 - Thursday, September 25, 1997",300,"On the 67th anniversary of his birth, a bronze bust of this author was unveiled near Sun Valley, Idaho"
WEAPONS,Yogi Bear,"Show #3004 - Thursday, September 25, 1997",300,"""He will sleep 'til noon, but before it's dark, he'll have ev'ry picnic basket that's in Jellystone Park"""
OOPS!,Crossbow,"Show #3004 - Thursday, September 25, 1997",300,An arbalest is this type of archery weapon
YOU'RE TOAST,Ferdinand Marcos,"Show #3004 - Thursday, September 25, 1997",300,"For an overdue bill of $214,500, a Philippine electric co. turned off power to this man's tomb in 1997"
PIONEER TRAILS,French Toast,"Show #3004 - Thursday, September 25, 1997",300,"Parisians call it ""Pain Perdu"", or ""Lost Bread"""
1966,Peninsula,"Show #3004 - Thursday, September 25, 1997",400,"From the Latin for ""almost an island"", Florida is one"
TV CARTOON THEMES,Howard Hughes,"Show #3004 - Thursday, September 25, 1997",400,"Rumored gravely ill in Las Vegas, he sold his interest in TWA for $566 million"
WEAPONS,Woody Woodpecker,"Show #3004 - Thursday, September 25, 1997",,(AUDIO DAILY DOUBLE):
OOPS!,Breach loader,"Show #3004 - Thursday, September 25, 1997",400,"The Spencer repeating rifle was this type, the opposite of a muzzle loader"
YOU'RE TOAST,William Faulkner,"Show #3004 - Thursday, September 25, 1997",400,"Oxford, Miss. created a furor when it cut down a magnolia tree to erect a statue of this hometown author"
PIONEER TRAILS,General Electric,"Show #3004 - Thursday, September 25, 1997",400,"This company brought the toaster ""to life"" in 1909"
1966,Mountains,"Show #3004 - Thursday, September 25, 1997",500,"3 of these we've never mentioned are Quandary in Colorado, Ulugh Muztagh in Tibet & Lister in Antarctica"
TV CARTOON THEMES,Peggy Fleming,"Show #3004 - Thursday, September 25, 1997",500,She won her third consecutive U.S. Figure Skating Championship & her first world title
WEAPONS,Magilla Gorilla,"Show #3004 - Thursday, September 25, 1997",500,"This ape is ""For sale, won't you buy 'im, take 'im home and try 'im"""
OOPS!,Stun gun,"Show #3004 - Thursday, September 25, 1997",500,"Battery operated, it fires electric darts to immobilize the person attacking you"
YOU'RE TOAST,God,"Show #3004 - Thursday, September 25, 1997",500,"American Family Publishers' letter to a Florida church said this addressee was in the running for $11,000,000"
PIONEER TRAILS,Melba Toast,"Show #3004 - Thursday, September 25, 1997",500,"It's thin, dry & can sing arias"
1966,Oregon Trail,"Show #3004 - Thursday, September 25, 1997",200,Thiis trail's western terminus was the valley of the Willamette River
TV CARTOON THEMES,Manhattan,"Show #3004 - Thursday, September 25, 1997",200,"Title of a 1979 Allen film, or where he set his 1993 ""Murder Mystery"""
WEAPONS,Tail,"Show #3004 - Thursday, September 25, 1997",200,"Unlike monkeys, apes lack this often prehensile appendage"
OOPS!,Garp,"Show #3004 - Thursday, September 25, 1997",200,"In ""The World According To"" this character, he's killed by Pooh Percy"
YOU'RE TOAST,Seine,"Show #3004 - Thursday, September 25, 1997",200,Baptiste Androuet du Cerceau designed the Pont Neuf across this river
PIONEER TRAILS,Steven Spielberg,"Show #3004 - Thursday, September 25, 1997",200,"This Eagle Scout film director depicted Indiana Jones as a Boy Scout in ""The Last Crusade"""
1966,Natchez Trace Parkway,"Show #3004 - Thursday, September 25, 1997",400,"You can ""trace"" the history of this road between Nashville & the Mississippi through museums & wayside markers"
TV CARTOON THEMES,"""Mighty Aphrodite""","Show #3004 - Thursday, September 25, 1997",400,In this comedy Allen discovers that a hooker played by Mira Sorvino is the mother of his adopted son
WEAPONS,Chimpanzee,"Show #3004 - Thursday, September 25, 1997",400,"Genetically, this ape is man's closest living relative"
OOPS!,"""Sophie\'s Choice""","Show #3004 - Thursday, September 25, 1997",400,Stingo narrates this 1979 William Styron book
YOU'RE TOAST,Athens,"Show #3004 - Thursday, September 25, 1997",400,Eduard Schaubert helped guide the rebuilding of this Greek capital under King Otto
PIONEER TRAILS,John Tesh,"Show #3004 - Thursday, September 25, 1997",400,"This Eagle Scout & former ""Entertainment Tonight"" host trained on the piano as a youth"
1966,Erie Canal,"Show #3004 - Thursday, September 25, 1997",600,The importance of the Mohawk Trail in New York was diminished after this waterway opened in 1825
TV CARTOON THEMES,"""Bullets Over Broadway""","Show #3004 - Thursday, September 25, 1997",,(VIDEO DAILY DOUBLE):
WEAPONS,Gibbons,"Show #3004 - Thursday, September 25, 1997",600,"Noted for their long arms, they're the smallest & most agile of the apes"
OOPS!,Huckleberry Finn,"Show #3004 - Thursday, September 25, 1997",600,This Twain hero's feminine disguise fails after he can't remember if his name is Mary or Sarah
YOU'RE TOAST,Frank Lloyd Wright,"Show #3004 - Thursday, September 25, 1997",600,His original middle name was Lincoln; he changed it to Lloyd
PIONEER TRAILS,Gerald Ford,"Show #3004 - Thursday, September 25, 1997",,(VIDEO DAILY DOUBLE):
1966,Wilderness Road,"Show #3004 - Thursday, September 25, 1997",800,In 1775 30 axmen under the leadership of Daniel Boone hacked this route through the Cumberland Gap
TV CARTOON THEMES,"""Everyone Says I Love You""","Show #3004 - Thursday, September 25, 1997",800,"Goldie Hawn, Julia Roberts & Drew Barrymore were featured in this zany 1996 musical"
WEAPONS,Silverback,"Show #3004 - Thursday, September 25, 1997",800,"Referring to its hair color, the dominant male within a group of gorillas is called this"
OOPS!,"""Little Big Man""","Show #3004 - Thursday, September 25, 1997",800,"This Thomas Berger book is the reminiscences of Jack Crabb, a survivor of Little Big Horn"
TELEVISED HISTORY,Drift,"Show #3008 - Wednesday, October 1, 1997",100,The material left behind by a retreating glacier or the slow movement of the continents
YOU'RE TOAST,Walter Gropius,"Show #3004 - Thursday, September 25, 1997",800,"While teaching at Harvard, this Bauhaus founder helped design the Harvard University Graduate Center"
PIONEER TRAILS,James Lovell,"Show #3004 - Thursday, September 25, 1997",800,As a youth this commander of Apollo 13 was interested in scouting & rocketry
TV CARTOON THEMES,"""Husbands And Wives""","Show #3004 - Thursday, September 25, 1997",1000,Woody & Mia Farrow's own relationship fell apart during the making of this film about marital breakups
WEAPONS,Borneo & Sumatra,"Show #3004 - Thursday, September 25, 1997",1000,1 of 2 islands on which the orangutan is found in the wild; it was once found in mainland Asia as well
OOPS!,Molly,"Show #3004 - Thursday, September 25, 1997",1000,"In ""Ulysses"" Marion Tweedy Bloom is better known by this nickname"
YOU'RE TOAST,Boston,"Show #3004 - Thursday, September 25, 1997",1000,Charles Bulfinch served on this city's Board of Selectmen from 1791 to 1817
PIONEER TRAILS,William Bennett,"Show #3004 - Thursday, September 25, 1997",1000,"This Boy Scout & former Secretary of Education published ""The Moral Compass"" in 1995"
CONNECTIONS,Challenger,"Show #3008 - Wednesday, October 1, 1997",100,"Video tape of this space shuttle's destruction aired repeatedly on January 28, 1986"
DOUBLE TALK,Eddie Fisher,"Show #3008 - Wednesday, October 1, 1997",100,"He's the husband ""shared"" by Connie Stevens, Liz Taylor & Debbie Reynolds"
HITTITE HODGEPODGE,Yo-Yo,"Show #3008 - Wednesday, October 1, 1997",100,In the 1920s Donald Duncan introduced this child's toy to America & it's had its ups & downs ever since
CHILDREN'S LIT,Bee,"Show #3008 - Wednesday, October 1, 1997",100,"In Hittite myth, one of these insects is sent to find a missing god; sort of a game of ""Hive And Seek"""
CLASSICAL MUSICIANS,Rudyard Kipling,"Show #3008 - Wednesday, October 1, 1997",100,"Of all his works, the ""Just So Stories"" was reportedly his favorite"
TELEVISED HISTORY,Decibel,"Show #3008 - Wednesday, October 1, 1997",200,How loud you're playing your Aerosmith album is indicated by this number
CONNECTIONS,Al Capone,"Show #3008 - Wednesday, October 1, 1997",200,Little was found in 1986 when Geraldo Rivera opened a vault linked to this crime boss on live TV
DOUBLE TALK,Oxygen,"Show #3008 - Wednesday, October 1, 1997",200,It's the element shared by water & carbon dioxide
HITTITE HODGEPODGE,"""Na-Nu Na-Nu""","Show #3008 - Wednesday, October 1, 1997",200,"It's Orkan for ""hello"""
CHILDREN'S LIT,Egypt,"Show #3008 - Wednesday, October 1, 1997",200,"After a 16-year war, a treaty was signed with this country & its king, Ramses II, married a Hittite princess"
CLASSICAL MUSICIANS,A cookie,"Show #3008 - Wednesday, October 1, 1997",200,"""If You Give A Moose A Muffin"" is the tasty sequel to ""If You Give A Mouse"" this"
TELEVISED HISTORY,Louis Daguerre,"Show #3008 - Wednesday, October 1, 1997",300,In 1837 this French theatrical designer invented a new type of photography
CONNECTIONS,Chicago,"Show #3008 - Wednesday, October 1, 1997",300,The whole world was watching the protests at the 1968 Democratic Convention in this city
DOUBLE TALK,Igor,"Show #3008 - Wednesday, October 1, 1997",300,"First name shared by composer Stravinsky, helicopter maker Sikorsky & ""Young Frankenstein""'s assistant"
HITTITE HODGEPODGE,,"Show #3008 - Wednesday, October 1, 1997",300,"This Mamas & Papas hit was ""All I hoped it would be"""
PRIME TIME TV,Tooth,"Show #3005 - Friday, September 26, 1997",100,"Dentine,"
CHILDREN'S LIT,Chariots,"Show #3008 - Wednesday, October 1, 1997",300,The army had 3-man crews & an elaborate system of horse training for these vehicles
CLASSICAL MUSICIANS,Judy Blume,"Show #3008 - Wednesday, October 1, 1997",300,"She came to fame with her 1970 book ""Are You There, God?  It's Me, Margaret"""
TELEVISED HISTORY,Doldrums,"Show #3008 - Wednesday, October 1, 1997",400,Sailing ships may experience days of calm in this ocean region near the Equator
CONNECTIONS,John Hinckley,"Show #3008 - Wednesday, October 1, 1997",400,"TV cameramen were just 20 feet away when he shot Ronald Reagan on March 30, 1981"
DOUBLE TALK,Colorado River,"Show #3008 - Wednesday, October 1, 1997",,River that connects Lake Powell in Utah with the Gulf of California
HITTITE HODGEPODGE,Lord Haw-Haw,"Show #3008 - Wednesday, October 1, 1997",400,"During World War II this English ""lord"" broadcast propaganda for the Germans, & it wasn't funny"
CHILDREN'S LIT,Iron Age,"Show #3008 - Wednesday, October 1, 1997",400,"Following the Bronze Age, the Hittites helped initiate this metal's age"
CLASSICAL MUSICIANS,Narnia,"Show #3008 - Wednesday, October 1, 1997",400,"C.S. Lewis chronicled this fantasy world in 7 books, beginning with ""The Lion, The Witch And The Wardrobe"""
TELEVISED HISTORY,Deuterium,"Show #3008 - Wednesday, October 1, 1997",500,"Hey, man! - that's heavy hydrogen"
CONNECTIONS,Jim McKay,"Show #3008 - Wednesday, October 1, 1997",500,This ABC sportscaster won an Emmy for his coverage of the terrorism in Munich in 1972
"CROSSWORD CLUES ""U""",Jane Curtin,"Show #3005 - Friday, September 26, 1997",100,"This former TV Conehead plays a human romancing an alien in ""3rd Rock From The Sun"""
WORLD WAR I,Unsinkable,"Show #3005 - Friday, September 26, 1997",100,Ivory soap or Molly Brown
MIDDLE NAMES,Western front,"Show #3005 - Friday, September 26, 1997",100,The battles on this front ran from Liege in 1914 to the 2nd battle of the Marne in 1918; it was rarely quiet
INTO THE WOODS,Robert Ripley,"Show #3005 - Friday, September 26, 1997",100,"Leroy was the middle name of this cartoonist, ""Believe It Or Not"""
CONTEMPORARY AUTHORS,Central Park,"Show #3005 - Friday, September 26, 1997",100,"As mayor of New York City, Fernando Wood helped create this wooded area"
PRIME TIME TV,Foot,"Show #3005 - Friday, September 26, 1997",200,"Calcaneus,"
"CROSSWORD CLUES ""U""",,"Show #3005 - Friday, September 26, 1997",,(VIDEO DAILY DOUBLE):
WORLD WAR I,Udder,"Show #3005 - Friday, September 26, 1997",200,Got Milk!
MIDDLE NAMES,Treaty of Versailles,"Show #3005 - Friday, September 26, 1997",200,This treaty that ended WWI was repudiated by Hitler in 1935
INTO THE WOODS,Neil,"Show #3005 - Friday, September 26, 1997",200,It's the middle & more familiar name of playwright Marvin Simon
CONTEMPORARY AUTHORS,Grant Wood,"Show #3005 - Friday, September 26, 1997",200,"In this Iowan's 1929 painting ""Woman With Plants"", the woman is his mother"
DOUBLE TALK,Constantinople (Istanbul),"Show #3008 - Wednesday, October 1, 1997",500,It's the capital city shared by the Ottoman & the Byzantine Empires
HITTITE HODGEPODGE,Walla Walla,"Show #3008 - Wednesday, October 1, 1997",500,"This Washington city whose name means ""many waters"" was known as Steptoeville until 1859"
CHILDREN'S LIT,Cuneiform,"Show #3008 - Wednesday, October 1, 1997",500,The Hittite language was written in this wedge-shaped system
CLASSICAL MUSICIANS,The Blue Dolphins,"Show #3008 - Wednesday, October 1, 1997",500,"Scott O' Dell is perhaps best known for his Newberry Medal-winning novel ""Island Of"" these creatures"
TELEVISED HISTORY,Leonard Bernstein,"Show #3008 - Wednesday, October 1, 1997",200,"This conductor, later seen on television, gained fame substituting on a 1943 New York Philharmonic radio broadcast"
CONNECTIONS,Doris Day Care Center,"Show #3008 - Wednesday, October 1, 1997",200,"""Pillow Talk"" star's preschool"
DOUBLE TALK,Quail,"Show #3008 - Wednesday, October 1, 1997",200,"This member of the pheasant family can be roasted, broiled or fried"
